Year,CO2,GDP2015USD,GDPGRPC,DC,INDUSTRY,POPULATION TOTAL
1992,0.683086373,528.8981738,10.04315814,23.82174445,3.316865935,907574049
1993,0.69007405,546.4410172,9.353758063,24.69824025,2.627465863,926351297
1994,0.703136167,560.7985684,11.25142601,23.83205539,4.525133811,945261958
1995,0.725622135,586.175454,12.17923806,23.6473414,5.452945864,964279129
1996,0.76518964,618.1392842,12.1974003,22.5107747,5.471108102,983281218
1997,0.787231756,651.9583526,8.798165477,23.40244204,2.071873277,1002335230
1998,0.817360076,665.4661035,10.92521336,23.55532535,4.19892116,1021434576
1999,0.818720963,693.4085005,13.57762561,23.67774686,6.851333408,1040500054
2000,0.866242339,740.9162288,8.692244637,25.42286221,1.965952437,1059633675
2001,0.885077949,755.4822894,9.671611559,28.33955116,2.945319359,1078970907
2002,0.883746998,777.7336556,8.702200184,28.61941543,1.975907984,1098313039
2003,0.897242649,793.100957,12.74281276,32.30648907,6.016520564,1117415123
2004,0.905456602,840.8180391,12.85889837,31.62626562,6.132606168,1136264583
2005,0.955470157,892.3820981,12.93230323,36.19180385,6.206011032,1154638713
2006,0.984261473,947.7634295,13.15233692,40.06798048,6.426044715,1172373788
2007,1.036533922,1008.667131,12.81991798,43.62775243,6.093625779,1189691809
2008,1.123599482,1070.131532,8.357072789,45.62776475,1.630780589,1206734806
2009,1.180361247,1087.583029,13.09800159,49.55936669,6.371709389,1223640160
2010,1.278873603,1156.880659,13.73946678,48.12444791,7.01317458,1240613620
2011,1.338033835,1238.014719,10.54436533,50.55537498,3.81807313,1257621191
2012,1.396878498,1285.283027,10.78711577,51.28923313,4.06082357,1274487215
2013,1.498204123,1337.476103,11.74090406,51.88850764,5.014611864,1291132063
2014,1.5276744,1404.545338,12.81247243,52.38570952,6.086180227,1307246509
2015,1.642465277,1490.028499,13.44735983,51.88218736,6.721067631,1322866505
2016,1.631323487,1590.174322,13.7072819,51.86752408,6.980989701,1338636340
2017,1.639914019,1701.184227,12.29462571,49.10122542,5.568333514,1354195680
2018,1.704926721,1795.911839,12.02870088,48.7940214,5.302408679,1369003306
2019,1.795595299,1891.138424,9.538165302,50.33816275,2.811873102,1383112050
2020,1.752534366,1944.314837,1.2E-07,50.74246174,-6.72629208,1396387127
2021,1.576093232,1813.534542,14.91065992,54.57172195,8.184367716,1407563842
