Year,CO2,GDP2015USD,GDPGRPC,DC,INDUSTRY,POPULATION TOTAL
1992,5.71782287,4294.902917,3.35263141,90.98307672,33.06085832,41760755
1993,5.795258086,4269.700164,6.894286627,95.82825572,31.9307593,42525440
1994,5.82621348,4330.711477,8.910029479,101.0586032,31.23031633,43267982
1995,6.007615954,4392.070041,8.897916871,105.0070844,30.98186557,43986084
1996,6.136002328,4511.641244,10.20352664,105.5438686,29.88998626,44661603
1997,6.372628776,4565.216658,8.66858555,102.3654612,29.25063094,45285048
1998,6.459823512,4531.295987,6.73806841,103.7189432,28.57636657,45852166
1999,6.001786144,4588.756028,8.749163566,118.1744005,27.66560221,46364681
2000,6.076553172,4735.665532,10.68260321,117.0953665,28.22975551,46813266
2001,6.78372306,4820.644339,9.27553552,121.0697456,28.53161312,47229714
2002,6.950513574,4953.736447,10.24197075,97.31737283,28.50591602,47661514
2003,7.338956173,5052.90994,9.483086476,102.7677012,26.89286806,48104048
2004,7.824764075,5233.866277,11.06232297,112.8209134,26.30363667,48556071
2005,7.704297845,5458.230166,11.76786429,122.283168,26.01507927,49017147
2006,7.672712199,5708.823086,12.07219486,139.0073677,24.85911763,49491756
2007,7.943858574,5954.168048,11.77873797,142.4220455,25.29461831,49996094
2008,8.446649685,6074.942672,9.509497451,125.9558803,26.94155611,50565812
2009,7.902048941,5910.788246,4.778936791,121.0945463,25.74307619,51170779
2010,8.217612227,6018.230754,9.29882846,124.0938999,25.3034631,51784921
2011,7.808053742,6130.971367,9.354410989,118.970676,24.83949115,52443325
2012,8.034649259,6194.992759,8.525321933,125.1677855,24.46860024,53145033
2013,8.116434954,6263.104334,8.580554498,127.0292725,24.55174177,53873616
2014,8.191152527,6252.317977,7.308872154,128.8383748,24.30528201,54729551
2015,7.607188524,6204.929901,6.723164649,127.2032442,23.73230797,55876504
2016,7.544589571,6185.746047,7.171921596,124.3604961,23.7825373,56422274
2017,7.683707811,6233.187108,8.248034376,127.0302839,23.6105565,56641209
2018,7.667377025,6250.997544,7.766828397,118.7035905,23.60162619,57339635
2019,7.688907623,6189.289245,6.493917527,117.4264855,23.63780822,58087055
2020,6.687563147,5726.262775,1E-09,109.1693853,23.2727873,58801927
