Date ,Volume
"May 1, 2021",86.24
"May 2, 2021",79.37
"May 3, 2021",87.72
"May 4, 2021",89.31
"May 5, 2021",87.7
"May 6, 2021",85.35
"May 7, 2021",86.31
"May 8, 2021",83.45
"May 9, 2021",79.4
"May 10, 2021",84.92
"May 11, 2021",90.01
"May 12, 2021",85.77
"May 13, 2021",85.17
"May 14, 2021",81.17
"May 15, 2021",80.53
"May 16, 2021",71.28
"May 17, 2021",80.02
"May 18, 2021",80.3
"May 19, 2021",80.3
"May 20, 2021",79.34
"May 21, 2021",79.77
"May 22, 2021",77.24
"May 23, 2021",75.61
"May 24, 2021",80.03
"May 25, 2021",79.93
"May 26, 2021",68.26
"May 27, 2021",50.03
"May 28, 2021",116.23
"May 29, 2021",79.3
"May 30, 2021",76.97
"May 31, 2021",90.66
"June 1, 2021",97.81
"June 2, 2021",98.14
"June 3, 2021",92.8
"June 4, 2021",90.82
"June 5, 2021",92.12
"June 6, 2021",85.06
"June 7, 2021",95.85
"June 8, 2021",95.95
"June 9, 2021",95.93
"June 10, 2021",96.07
"June 11, 2021",94.84
"June 12, 2021",91.48
"June 13, 2021",85.17
"June 14, 2021",97.37
"June 15, 2021",96.86
"June 16, 2021",95.89
"June 17, 2021",91.45
"June 18, 2021",96.82
"June 19, 2021",92.34
"June 20, 2021",86.16
"June 21, 2021",96.77
"June 22, 2021",93.78
"June 23, 2021",88.61
"June 24, 2021",90.12
"June 25, 2021",93.53
"June 26, 2021",92.32
"June 27, 2021",85.35
"June 28, 2021",95.75
"June 29, 2021",97.16
"June 30, 2021",105.2
"July 1, 2021",105.24
"July 2, 2021",108.15
"July 3, 2021",104.45
"July 4, 2021",97.95
"July 5, 2021",109.22
"July 6, 2021",102.76
"July 7, 2021",115
"July 8, 2021",95.37
"July 9, 2021",115.17
"July 10, 2021",92.21
"July 11, 2021",93.54
"July 12, 2021",92.43
"July 13, 2021",141.92
"July 14, 2021",100.92
"July 15, 2021",106.36
"July 16, 2021",115.93
"July 17, 2021",103.02
"July 18, 2021",91.51
"July 19, 2021",104.95
"July 20, 2021",107.81
"July 21, 2021",95.49
"July 22, 2021",82.21
"July 23, 2021",117.26
"July 24, 2021",97.81
"July 25, 2021",96.8
"July 26, 2021",105.11
"July 27, 2021",104.07
"July 28, 2021",105.63
"July 29, 2021",104.44
"July 30, 2021",111.75
"July 31, 2021",121.03
"August 1, 2021",113.98
"August 2, 2021",120.23
"August 3, 2021",120.08
"August 4, 2021",119.13
"August 5, 2021",118.34
"August 6, 2021",110.52
"August 7, 2021",122.25
"August 8, 2021",112.77
"August 9, 2021",123.51
"August 10, 2021",124.7
"August 11, 2021",121.83
"August 12, 2021",118.73
"August 13, 2021",115.28
"August 14, 2021",114.78
"August 15, 2021",106.29
"August 16, 2021",113.71
"August 17, 2021",114.53
"August 18, 2021",114.18
"August 19, 2021",114.87
"August 20, 2021",111.51
"August 21, 2021",117.35
"August 22, 2021",106.05
"August 23, 2021",108.6
"August 24, 2021",109.72
"August 25, 2021",113.97
"August 26, 2021",111.4
"August 27, 2021",110.6
"August 28, 2021",110.81
"August 29, 2021",106.73
"August 30, 2021",109.17
"August 31, 2021",119.91
"September 1, 2021",126.11
"September 2, 2021",127.67
"September 3, 2021",124.5
"September 4, 2021",123.74
"September 5, 2021",108.9
"September 6, 2021",122.12
"September 7, 2021",113.98
"September 8, 2021",126.41
"September 9, 2021",128.42
"September 10, 2021",120.94
"September 11, 2021",117.88
"September 12, 2021",113.62
"September 13, 2021",120.56
"September 14, 2021",121.43
"September 15, 2021",124
"September 16, 2021",120.17
"September 17, 2021",117.22
"September 18, 2021",123.85
"September 19, 2021",118.19
"September 20, 2021",125.27
"September 21, 2021",123.08
"September 22, 2021",123.79
"September 23, 2021",123.22
"September 24, 2021",123.67
"September 25, 2021",122.02
"September 26, 2021",116.82
"September 27, 2021",119.9
"September 28, 2021",120.88
"September 29, 2021",122.38
"September 30, 2021",135.12
"October 1, 2021",137.77
"October 2, 2021",139.11
"October 3, 2021",137.27
"October 4, 2021",139.39
"October 5, 2021",142.99
"October 6, 2021",137.16
"October 7, 2021",144.47
"October 8, 2021",142.18
"October 9, 2021",134.63
"October 10, 2021",135.99
"October 11, 2021",137.83
"October 12, 2021",138.87
"October 13, 2021",137.65
"October 14, 2021",133.42
"October 15, 2021",126.87
"October 16, 2021",128.53
"October 17, 2021",118.51
"October 18, 2021",134.79
