Year,EG,TECH,INF,FD,Y_MSME,TO
1990,5.910118255,8.248005702,3.133274693,3.215528492,15.6642488,-1.863926275
1991,5.7165356,8.18729927,3.263164116,3.170598796,15.80437072,-1.77267907
1992,5.760662792,8.138564737,3.374596513,3.206731996,15.94864688,-1.691022276
1993,5.708772624,8.221478947,3.435944549,3.171031539,16.10598258,-1.62701449
1994,5.847095765,8.476371197,3.533506152,3.163250694,16.31820801,-1.605538307
1995,5.923261276,8.789660098,3.630858664,3.11399407,16.5081899,-1.475455741
1996,5.990407255,9.055089087,3.716826727,3.152840377,16.63572806,-1.517337977
1997,6.028034354,9.225721474,3.786019265,3.159351924,16.74519384,-1.486362821
1998,6.022258886,9.099855639,3.910277637,3.164535656,16.86219257,-1.439717498
1999,6.088957467,8.481773246,3.955918278,3.235648856,16.96722041,-1.393697777
2000,6.091388564,9.052282067,3.995229717,3.344258396,17.07858316,-1.313009591
2001,6.109050063,9.267854278,4.032325994,3.354085349,17.15578952,-1.347333114
2002,6.150271004,9.347054195,4.074399864,3.47526811,17.2650218,-1.220486307
2003,6.298662071,9.442483307,4.111752092,3.453987966,17.41158095,-1.184417393
2004,6.436318775,9.768011413,4.148732333,3.58883268,17.57623614,-0.98072755
2005,6.5659821,10.10160043,4.190318934,3.690577524,17.72320822,-0.867460816
2006,6.687125742,10.27256526,4.246666407,3.775693472,18.72180926,-0.782536353
2007,6.930233222,10.46931259,4.308446891,3.820516407,18.78197051,-0.7833724
2008,6.901237497,10.51357916,4.388636668,3.903171278,18.84217328,-0.62795474
2009,7.000002715,10.44252155,4.491936238,3.873790321,18.90270899,-0.770614365
2010,7.208329729,10.59066696,4.605170186,3.92306927,18.96390778,-0.708155108
2011,7.279045212,10.65232958,4.690538319,3.93748085,19.37414768,-0.58655758
2012,7.268235558,10.69092166,4.781100855,3.949097333,19.5116766,-0.583508837
2013,7.271048172,10.66967607,4.876573553,3.958633835,19.62757811,-0.619076759
2014,7.352353771,10.66555427,4.941102606,3.94897552,19.7176244,-0.714939196
2015,7.371598925,10.72893412,4.989006411,3.948692854,19.82185102,-0.869337638
2016,7.446748178,10.71568363,5.037303275,3.893883992,19.92521652,-0.914230712
2017,7.579663406,10.74896948,5.070043162,3.887607793,20.04731897,-0.897898487
2018,7.588008554,10.82087768,5.108675495,3.918763492,20.16859167,-0.829723906
2019,7.625674966,10.88980795,5.145291913,3.92676307,20.21617603,-0.918658444
